ID,CIUU,CATEGORY,PROFID,FUELTYPE,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
I1656,D273,HC,92084,Carbon,25,31,4.62296388889,-74.1880111111,PM25,g/h,4.37228862286,4.37228862286,4.37228862286,4.37228862286,4.37228862286,4.37228862286,4.37228862286,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,13.1168658686,4.37228862286,4.37228862286,4.37228862286,4.37228862286,4.37228862286,4.37228862286
I489,D1511,GLP,92048,GLP,37,29,4.59947222222,-74.0886388889,PM25,g/h,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.258143115667,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221,0.0860477052221
I488,D2731,HC,92084,Carbon,35,37,4.59459634919,-74.0961358377,PM25,g/h,1.39229213738,1.39229213738,1.39229213738,1.39229213738,1.39229213738,1.39229213738,1.39229213738,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,4.17687641213,1.39229213738,1.39229213738,1.39229213738,1.39229213738,1.39229213738,1.39229213738
I1657,D2731,HC,92084,Carbon,25,31,4.56562222222,-74.1286833333,PM25,g/h,314.804780845,314.804780845,314.804780845,314.804780845,314.804780845,314.804780845,314.804780845,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,944.414342538,314.804780845,314.804780845,314.804780845,314.804780845,314.804780845,314.804780845
I483,D2411,HG2,92048,GNV,31,34,4.59513494526,-74.0958231408,PM25,g/h,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0804113660835,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943,0.0268037886943
I482,D2423,CG3,92048,GNV,40,33,4.59945833333,-74.0928888889,PM25,g/h,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.29950645525,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831,0.0998354850831
I481,D3140,AHF,92025,DIESEL,40,33,4.60282175616,-74.0938466523,PM25,g/h,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00969432465493,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164,0.00323144155164
I480,D2423,CG3,92048,GNV,40,33,4.59794444444,-74.0939444444,PM25,g/h,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0596246788537,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511,0.0198748929511
I487,D3110,HG2,92048,GNV,36,37,4.59822610796,-74.0938231516,PM25,g/h,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00763721290364,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454,0.00254573763454
I486,D3110,HG2,92048,GNV,29,27,4.59822610796,-74.0938231516,PM25,g/h,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.231662124743,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479,0.0772207082479
