ID,CIUU,CATEGORY,PROFID,FUELTYPE,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
I489,D1511,GLP,92048,GLP,37,29,4.59947222222,-74.0886388889,SO2,g/h,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0174893709801,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267,0.0058297903267
I488,D2731,HC,92084,Carbon,35,37,4.59459634919,-74.0961358377,SO2,g/h,6.12374258367,6.12374258367,6.12374258367,6.12374258367,6.12374258367,6.12374258367,6.12374258367,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,18.371227751,6.12374258367,6.12374258367,6.12374258367,6.12374258367,6.12374258367,6.12374258367
I483,D2411,HG2,92048,GNV,31,34,4.59513494526,-74.0958231408,SO2,g/h,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0386520594289,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096,0.0128840198096
I482,D2423,CG3,92048,GNV,40,33,4.59945833333,-74.0928888889,SO2,g/h,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.047341635539,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797,0.0157805451797
I481,D3140,AHF,92025,DIESEL,40,33,4.60282175616,-74.0938466523,SO2,g/h,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.23136035311,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031,0.0771201177031
I480,D2423,CG3,92048,GNV,40,33,4.59794444444,-74.0939444444,SO2,g/h,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00942460426457,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485,0.00314153475485
I487,D3110,HG2,92048,GNV,36,37,4.59822610796,-74.0938231516,SO2,g/h,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00367104827837,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946,0.00122368275946
I486,D3110,HG2,92048,GNV,29,27,4.59822610796,-74.0938231516,SO2,g/h,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.111355131111,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369,0.0371183770369
I485,D1926,CG3,92048,GNV,30,28,4.59738678284,-74.0947585206,SO2,g/h,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.0106920833074,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914,0.00356402776914
I484,D2411,HG3,92048,GNV,30,28,4.59513494526,-74.0958231408,SO2,g/h,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.00278877365798,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325,0.000929591219325
