ID,CIUU,CATEGORY,PROFID,FUELTYPE,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
I489,D1511,GLP,92048,GLP,37,29,4.59947222222,-74.0886388889,NOX,g/h,10.9842966072,10.9842966072,10.9842966072,10.9842966072,10.9842966072,10.9842966072,10.9842966072,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,32.9528898217,10.9842966072,10.9842966072,10.9842966072,10.9842966072,10.9842966072,10.9842966072
I488,D2731,HC,92084,Carbon,35,37,4.59459634919,-74.0961358377,NOX,g/h,2.31356453562,2.31356453562,2.31356453562,2.31356453562,2.31356453562,2.31356453562,2.31356453562,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,6.94069360687,2.31356453562,2.31356453562,2.31356453562,2.31356453562,2.31356453562,2.31356453562
I483,D2411,HG2,92048,GNV,31,34,4.59513494526,-74.0958231408,NOX,g/h,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.677381997159,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.225793999053,0.225793999053
I482,D2423,CG3,92048,GNV,40,33,4.59945833333,-74.0928888889,NOX,g/h,3.13468945477,3.13468945477,3.13468945477,3.13468945477,3.13468945477,3.13468945477,3.13468945477,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,9.40406836432,3.13468945477,3.13468945477,3.13468945477,3.13468945477,3.13468945477,3.13468945477
I481,D3140,AHF,92025,DIESEL,40,33,4.60282175616,-74.0938466523,NOX,g/h,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.290829739649,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495,0.0969432465495
I480,D2423,CG3,92048,GNV,40,33,4.59794444444,-74.0939444444,NOX,g/h,0.624042817008,0.624042817008,0.624042817008,0.624042817008,0.624042817008,0.624042817008,0.624042817008,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,1.87212845103,0.624042817008,0.624042817008,0.624042817008,0.624042817008,0.624042817008,0.624042817008
I487,D3110,HG2,92048,GNV,36,37,4.59822610796,-74.0938231516,NOX,g/h,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.0643355632591,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.021445187753,0.021445187753
I486,D3110,HG2,92048,GNV,29,27,4.59822610796,-74.0938231516,NOX,g/h,0.650504028509,0.650504028509,0.650504028509,0.650504028509,0.650504028509,0.650504028509,0.650504028509,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,1.95151208553,0.650504028509,0.650504028509,0.650504028509,0.650504028509,0.650504028509,0.650504028509
I485,D1926,CG3,92048,GNV,30,28,4.59738678284,-74.0947585206,NOX,g/h,0.707967952767,0.707967952767,0.707967952767,0.707967952767,0.707967952767,0.707967952767,0.707967952767,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,2.1239038583,0.707967952767,0.707967952767,0.707967952767,0.707967952767,0.707967952767,0.707967952767
I484,D2411,HG3,92048,GNV,30,28,4.59513494526,-74.0958231408,NOX,g/h,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.436907873084,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.145635957694,0.145635957694
I1008,D1521,GLP,92048,GLP,27,29,4.6133563189,-74.1007713438,NOX,g/h,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.674937235252,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.224979078417,0.224979078417
I731,D1810,CG3,92048,GNV,33,30,4.64843767326,-74.1211453378,NOX,g/h,4.5116106069,4.5116106069,4.5116106069,4.5116106069,4.5116106069,4.5116106069,4.5116106069,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,13.5348318207,4.5116106069,4.5116106069,4.5116106069,4.5116106069,4.5116106069,4.5116106069
I730,D1730,ACF,92072,FUEL OIL,33,30,4.65103130135,-74.1183399615,NOX,g/h,14.044987844,14.044987844,14.044987844,14.044987844,14.044987844,14.044987844,14.044987844,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,42.134963532,14.044987844,14.044987844,14.044987844,14.044987844,14.044987844,14.044987844
