ID,CIUU,CATEGORY,PROFID,FUELTYPE,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
I489,D1511,GLP,92048,GLP,37,29,4.59947222222,-74.0886388889,PM10,g/h,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.349787419603,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.116595806534,0.116595806534
I488,D2731,HC,92084,Carbon,35,37,4.59459634919,-74.0961358377,PM10,g/h,6.4457969323,6.4457969323,6.4457969323,6.4457969323,6.4457969323,6.4457969323,6.4457969323,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,19.3373907969,6.4457969323,6.4457969323,6.4457969323,6.4457969323,6.4457969323,6.4457969323
I483,D2411,HG2,92048,GNV,31,34,4.59513494526,-74.0958231408,PM10,g/h,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.108958490628,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758,0.0363194968758
I482,D2423,CG3,92048,GNV,40,33,4.59945833333,-74.0928888889,PM10,g/h,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.405835305217,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.135278435072,0.135278435072
I481,D3140,AHF,92025,DIESEL,40,33,4.60282175616,-74.0938466523,PM10,g/h,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0646288310329,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776,0.0215429436776
I480,D2423,CG3,92048,GNV,40,33,4.59794444444,-74.0939444444,PM10,g/h,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0807922477692,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563,0.0269307492563
I487,D3110,HG2,92048,GNV,36,37,4.59822610796,-74.0938231516,PM10,g/h,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.0103485269697,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989,0.00344950898989
I486,D3110,HG2,92048,GNV,29,27,4.59822610796,-74.0938231516,PM10,g/h,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.31390531808,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.104635106027,0.104635106027
I485,D1926,CG3,92048,GNV,30,28,4.59738678284,-74.0947585206,PM10,g/h,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0916576886937,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978,0.0305525628978
I484,D2411,HG3,92048,GNV,30,28,4.59513494526,-74.0958231408,PM10,g/h,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.0088311165836,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786,0.00294370552786
