ID,CIUU,CATEGORY,PROFID,FUELTYPE,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
I489,D1511,GLP,92048,GLP,37,29,4.59947222222,-74.0886388889,CO2,g/h,7287.23790838,7287.23790838,7287.23790838,7287.23790838,7287.23790838,7287.23790838,7287.23790838,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,21861.7137252,7287.23790838,7287.23790838,7287.23790838,7287.23790838,7287.23790838,7287.23790838
I488,D2731,HC,92084,Carbon,35,37,4.59459634919,-74.0961358377,CO2,g/h,1187.74972231,1187.74972231,1187.74972231,1187.74972231,1187.74972231,1187.74972231,1187.74972231,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,3563.24916693,1187.74972231,1187.74972231,1187.74972231,1187.74972231,1187.74972231,1187.74972231
I483,D2411,HG2,92048,GNV,31,34,4.59513494526,-74.0958231408,CO2,g/h,355.136018401,355.136018401,355.136018401,355.136018401,355.136018401,355.136018401,355.136018401,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,1065.4080552,355.136018401,355.136018401,355.136018401,355.136018401,355.136018401,355.136018401
I482,D2423,CG3,92048,GNV,40,33,4.59945833333,-74.0928888889,CO2,g/h,5599.4635046,5599.4635046,5599.4635046,5599.4635046,5599.4635046,5599.4635046,5599.4635046,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,16798.3905138,5599.4635046,5599.4635046,5599.4635046,5599.4635046,5599.4635046,5599.4635046
I481,D3140,AHF,92025,DIESEL,40,33,4.60282175616,-74.0938466523,CO2,g/h,121.111170759,121.111170759,121.111170759,121.111170759,121.111170759,121.111170759,121.111170759,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,363.333512277,121.111170759,121.111170759,121.111170759,121.111170759,121.111170759,121.111170759
I480,D2423,CG3,92048,GNV,40,33,4.59794444444,-74.0939444444,CO2,g/h,1114.72126013,1114.72126013,1114.72126013,1114.72126013,1114.72126013,1114.72126013,1114.72126013,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,3344.16378039,1114.72126013,1114.72126013,1114.72126013,1114.72126013,1114.72126013,1114.72126013
I487,D3110,HG2,92048,GNV,36,37,4.59822610796,-74.0938231516,CO2,g/h,33.7296767159,33.7296767159,33.7296767159,33.7296767159,33.7296767159,33.7296767159,33.7296767159,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,101.189030148,33.7296767159,33.7296767159,33.7296767159,33.7296767159,33.7296767159,33.7296767159
I486,D3110,HG2,92048,GNV,29,27,4.59822610796,-74.0938231516,CO2,g/h,1023.13352705,1023.13352705,1023.13352705,1023.13352705,1023.13352705,1023.13352705,1023.13352705,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,3069.40058115,1023.13352705,1023.13352705,1023.13352705,1023.13352705,1023.13352705,1023.13352705
I485,D1926,CG3,92048,GNV,30,28,4.59738678284,-74.0947585206,CO2,g/h,1264.63586622,1264.63586622,1264.63586622,1264.63586622,1264.63586622,1264.63586622,1264.63586622,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,3793.90759866,1264.63586622,1264.63586622,1264.63586622,1264.63586622,1264.63586622,1264.63586622
I484,D2411,HG3,92048,GNV,30,28,4.59513494526,-74.0958231408,CO2,g/h,185.918243865,185.918243865,185.918243865,185.918243865,185.918243865,185.918243865,185.918243865,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,557.754731596,185.918243865,185.918243865,185.918243865,185.918243865,185.918243865,185.918243865
I1008,D1521,GLP,92048,GLP,27,29,4.6133563189,-74.1007713438,CO2,g/h,149.256354545,149.256354545,149.256354545,149.256354545,149.256354545,149.256354545,149.256354545,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,447.769063635,149.256354545,149.256354545,149.256354545,149.256354545,149.256354545,149.256354545
I731,D1810,CG3,92048,GNV,33,30,4.64843767326,-74.1211453378,CO2,g/h,8059.04358469,8059.04358469,8059.04358469,8059.04358469,8059.04358469,8059.04358469,8059.04358469,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,24177.1307541,8059.04358469,8059.04358469,8059.04358469,8059.04358469,8059.04358469,8059.04358469
I730,D1730,ACF,92072,FUEL OIL,33,30,4.65103130135,-74.1183399615,CO2,g/h,6384.08538361,6384.08538361,6384.08538361,6384.08538361,6384.08538361,6384.08538361,6384.08538361,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,19152.2561509,6384.08538361,6384.08538361,6384.08538361,6384.08538361,6384.08538361,6384.08538361
I733,D1810,HG2,92048,GNV,34,30,4.64843767326,-74.1211453378,CO2,g/h,11722.2452141,11722.2452141,11722.2452141,11722.2452141,11722.2452141,11722.2452141,11722.2452141,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,35166.7356423,11722.2452141,11722.2452141,11722.2452141,11722.2452141,11722.2452141,11722.2452141
I732,D1810,CG3,92048,GNV,33,30,4.64843767326,-74.1211453378,CO2,g/h,100.884528036,100.884528036,100.884528036,100.884528036,100.884528036,100.884528036,100.884528036,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,302.653584108,100.884528036,100.884528036,100.884528036,100.884528036,100.884528036,100.884528036
I735,D1530,CG3,92048,GNV,34,30,4.65093965214,-74.1215490093,CO2,g/h,3983.87551277,3983.87551277,3983.87551277,3983.87551277,3983.87551277,3983.87551277,3983.87551277,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,11951.6265383,3983.87551277,3983.87551277,3983.87551277,3983.87551277,3983.87551277,3983.87551277
I734,D2424,CG3,92048,GNV,34,30,4.64684205367,-74.1192214108,CO2,g/h,643.320715142,643.320715142,643.320715142,643.320715142,643.320715142,643.320715142,643.320715142,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,1929.96214543,643.320715142,643.320715142,643.320715142,643.320715142,643.320715142,643.320715142
I737,D1720,CG1,92048,GNV,36,29,4.65130555556,-74.1221666667,CO2,g/h,12251.4618252,12251.4618252,12251.4618252,12251.4618252,12251.4618252,12251.4618252,12251.4618252,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,36754.3854755,12251.4618252,12251.4618252,12251.4618252,12251.4618252,12251.4618252,12251.4618252
I736,D1530,CG3,92048,GNV,36,29,4.65093965214,-74.1215490093,CO2,g/h,1493.95331729,1493.95331729,1493.95331729,1493.95331729,1493.95331729,1493.95331729,1493.95331729,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,4481.85995187,1493.95331729,1493.95331729,1493.95331729,1493.95331729,1493.95331729,1493.95331729
I739,D1720,CG1,92048,GNV,37,28,4.65130555556,-74.1221666667,CO2,g/h,35486.2339551,35486.2339551,35486.2339551,35486.2339551,35486.2339551,35486.2339551,35486.2339551,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,106458.701865,35486.2339551,35486.2339551,35486.2339551,35486.2339551,35486.2339551,35486.2339551
I738,D1720,ACD,92025,DIESEL,36,28,4.65130555556,-74.1221666667,CO2,g/h,1067.73828041,1067.73828041,1067.73828041,1067.73828041,1067.73828041,1067.73828041,1067.73828041,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,3203.21484125,1067.73828041,1067.73828041,1067.73828041,1067.73828041,1067.73828041,1067.73828041
I1005,D1521,HG1,92048,GNV,32,27,4.60306321624,-74.1179905948,CO2,g/h,1855.09084532,1855.09084532,1855.09084532,1855.09084532,1855.09084532,1855.09084532,1855.09084532,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,5565.27253596,1855.09084532,1855.09084532,1855.09084532,1855.09084532,1855.09084532,1855.09084532
I1004,D2912,HG3,92048,GNV,29,29,4.61883203706,-74.1041299551,CO2,g/h,1514.3429437,1514.3429437,1514.3429437,1514.3429437,1514.3429437,1514.3429437,1514.3429437,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,4543.02883111,1514.3429437,1514.3429437,1514.3429437,1514.3429437,1514.3429437,1514.3429437
I1267,D1742,CG3,92048,GNV,30,29,4.61547505636,-74.0977666588,CO2,g/h,2506.67714127,2506.67714127,2506.67714127,2506.67714127,2506.67714127,2506.67714127,2506.67714127,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,7520.03142384,2506.67714127,2506.67714127,2506.67714127,2506.67714127,2506.67714127,2506.67714127
I120,D2710,HG1,92048,GNV,31,33,4.5994226284,-74.1386276937,CO2,g/h,50516.3555824,50516.3555824,50516.3555824,50516.3555824,50516.3555824,50516.3555824,50516.3555824,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,151549.066747,50516.3555824,50516.3555824,50516.3555824,50516.3555824,50516.3555824,50516.3555824
I121,D2710,HG1,92048,GNV,31,33,4.5994226284,-74.1386276937,CO2,g/h,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042
I122,D2710,HG1,92048,GNV,31,33,4.5994226284,-74.1386276937,CO2,g/h,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,86599.4667128,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042,28866.4889042
