ID,BASEFUEL,CATEGORY,CIUU,COL,FUELTYPE,FUELUNIT,GROWRATE,LAT,LON,PROYECTEDFUEL,ROW,SOURCETYPE,VOCFE,VOCRM,YEAR,CO,CO2,NOX,PM10,SO2,VOC
I1656,28800.0,HC,D273,31,Carbon,kg,-0.00534479303749,4.62296388889,-74.1880111111,27891,25,HORNO CRISOL,1.0442e-08,8608.38414634,2008,0.174319198484,65.3487811275,0.127289966584,0.354641188299,0.336922085743,8.70518576354e-05
I489,68.8950297157,GLP,D1511,29,GLP,m3,0.0352364210205,4.59947222222,-74.0886388889,85,37,HORNO,1.9976e-05,29509.162766,2008,0.0324287916714,127.672408155,0.192444876559,0.00204275853048,0.000102137926524,0.72825473409
I488,9750.0,HC,D2731,37,Carbon,kg,-0.0155493052897,4.59459634919,-74.0961358377,8881,35,HORNO,3e-08,26143.9814815,2008,0.0555094300439,20.8093751349,0.0405336506641,0.112930362254,0.107287970066,0.000714455390088
I1657,2073600.0,HC,D2731,31,Carbon,kg,-0.00534479303749,4.56562222222,-74.1286833333,2008157,25,HORNO CUBILOTE,1.0442e-08,8608.38414634,2008,12.5509822908,4705.11224118,9.16487759404,25.5341655575,24.2583901735,8.70518576354e-05
I483,3158.66666667,HG2,D2411,34,GNV,m3,0.00426891489574,4.59513494526,-74.0958231408,3240,31,HORNO,8.8e-08,3158.66666667,2008,0.00207399434746,6.22198304239,0.00395591086341,0.000636317585265,0.000225728027065,0.000285174222776
I482,65280.0,CG3,D2423,33,GNV,m3,-0.0408328367972,4.59945833333,-74.0928888889,51095,40,CALDERA,8.8e-08,65280.0,2008,0.0686718204206,98.1026006008,0.0549197592476,0.00237007818247,0.000276475151548,0.0044963691942
I481,0.738161032668,AHF,D3140,33,DIESEL,m3,0.0119278052319,4.60282175616,-74.0938466523,0,40,HORNO,0.0912,0.738161032668,2008,0.000471790466541,2.1218677117,0.00169844567955,0.000377432373232,0.00135114446216,0.0723147740311
I480,12995.71,CG3,D2423,33,GNV,m3,-0.0408328367972,4.59794444444,-74.0939444444,10171,40,CALDERA,8.8e-08,12995.71,2008,0.0136709415343,19.5299164775,0.010933230154,0.000471826726972,5.50396889051e-05,0.000895121171887
I487,300.0,HG2,D3110,37,GNV,m3,0.00426891489574,4.59822610796,-74.0938231516,307,36,HORNO,1.0442e-08,8608.38414634,2008,0.000196981312021,0.590943936064,0.000375719689433,6.04353975029e-05,2.14389219457e-05,9.22208508878e-05
I486,9100.0,HG2,D3110,27,GNV,m3,0.00426891489574,4.59822610796,-74.0938231516,9336,29,HORNO,1.0442e-08,8608.38414634,2008,0.00597509979798,17.9252993939,0.0113968305795,0.00183320705759,0.000650313965688,9.22208508878e-05
I485,19200.0,CG3,D1926,28,GNV,m3,-0.0848513586022,4.59738678284,-74.0947585206,11539,30,CALDERA,7.6726e-06,30259.0,2008,0.0155094942633,22.1564203762,0.0124035985325,0.000535280901971,6.24417665154e-05,0.139538569967
I484,1579.33333333,HG3,D2411,28,GNV,m3,0.0119278052319,4.59513494526,-74.0958231408,1696,30,HORNO,8.8e-08,1579.33333333,2008,0.00108576254417,3.25728763252,0.00255154197881,5.15737208482e-05,1.62864381626e-05,0.000149292349824
I394,4885.4175,CG3,D1521,31,GNV,m3,0.00794181745082,4.61991666667,-74.1101666667,5123,30,CALDERA,8.8e-08,4885.4175,2008,0.00688645125053,9.83778750076,0.00550738632577,0.000237672858584,2.77250936623e-05,0.000450898593785
I1654,43200.0,HC,D2731,31,Carbon,kg,-0.00534479303749,4.56026666667,-74.0867,41836,24,HORNO CUBILOTE,1.0442e-08,8608.38414634,2008,0.261478797725,98.0231716913,0.190934949876,0.531961782448,0.505383128614,8.70518576354e-05
I731,77030.8465608,CG3,D1810,30,GNV,m3,-0.00773219322049,4.64843767326,-74.1211453378,73538,33,CALDERA,8.8e-08,77030.8465608,2008,0.0988361105225,141.194443604,0.0790434178331,0.00341114168454,0.000397917638819,0.0064714119985
I730,36.3402354544,ACF,D1730,30,FUEL OIL,m3,0.00426891489574,4.65103130135,-74.1183399615,37,33,CALDERA,0.000142,1159.09146341,2008,0.0223698351843,111.849175921,0.246068187027,0.0447396703686,0.0772654107265,0.168861191274
I733,112044.867725,HG2,D1810,30,GNV,m3,-0.00773219322049,4.64843767326,-74.1211453378,106965,34,HORNO,8.8e-08,112044.867725,2008,0.0684579120503,205.373736151,0.13057576473,0.0210034194845,0.00745077702019,0.00941296290692
