LAT|LON|ID|ROW|COL|BUS_NAME|CIUU|YEAR|S_TYPE|FUEL_TYPE|CATEGORY|GROW RATE|BASE_FUEL|PROYECTED_FUEL|FUEL UNIT|VOC RM|VOCFE
4.65572222222|-74.1395277778|I1|34.0|29.0|AVICOLA MILUC LTDA|D1511|2008.0|CALDERA|GNV|CG3|0.0352364210205|129034.0|159412.385111|m3|29509.162766|1.9976e-05
4.66380555556|-74.1466388889|I2|35.0|29.0|LAMINADOS DEL SUR LTDA|D2710|2008.0|HORNO|GLP|GLP|-0.0133506926704|90.8505886361|83.8569287898|m3|26143.9814815|3e-08
4.66955333619|-74.1511805162|I3|35.0|28.0|FUNDIPARTES LTDA|D2731|2008.0|HORNO|Carbon|HC|-0.0133506926704|24000.0|22152.4848784|kg|26143.9814815|3e-08
4.66649329422|-74.1406550619|I4|35.0|29.0|REENCAUCHADORA SUPERIOR S.A.|D2512|2008.0|CALDERA|GNV|CG3|-0.103838783747|20440.0|10962.2884823|m3|30259.0|7.6726e-06
4.67325400871|-74.136770649|I5|36.0|30.0|INDUSTRIAS J MONTES|D1551|2008.0|CALDERA|GLP|GLP|0.0172368693492|39.368588409|43.6581276724|m3|95073.8272034|2.57418e-06
4.68009444477|-74.1261782571|I6|37.0|31.0|INDUSTRIA NACIONAL DE GASEOSAS S.A. (EMBOTELLADORA SANTANDER EMBOSAN S.A.)|D1594|2008.0|CALDERA|GNV|CG2|0.038464328588|310812.0|391495.569766|m3|310812.0|8.8e-08
4.68009444477|-74.1261782571|I7|37.0|31.0|INDUSTRIA NACIONAL DE GASEOSAS S.A. (EMBOTELLADORA SANTANDER EMBOSAN S.A.)|D1594|2008.0|CALDERA|GNV|CG1|0.038464328588|621624.0|782991.139531|m3|621624.0|8.8e-08
4.68009444477|-74.1261782571|I8|37.0|31.0|INDUSTRIA NACIONAL DE GASEOSAS S.A. (EMBOTELLADORA SANTANDER EMBOSAN S.A.)|D1594|2008.0|CALDERA|GNV|CG1|0.038464328588|621624.0|782991.139531|m3|621624.0|8.8e-08
4.67658333333|-74.1244444444|I9|36.0|31.0|AVESCO S.A.|D1511|2008.0|CALDERA|GNV|CG3|0.00794181745082|107280.0|112515.74233|m3|107280.0|8.8e-08
4.67658333333|-74.1244444444|I10|36.0|31.0|AVESCO S.A.|D1511|2008.0|CALDERA|GNV|CG3|0.00794181745082|149000.0|156271.864347|m3|149000.0|8.8e-08
